ph,raw_charge_diff,net_charge
9.99,1.181007571428572e-06,-2.078246642120766
10.02,1.1521841428571425e-06,-2.0812181296023566
10.05,1.1239375714285724e-06,-2.0841301472754052
10.09,1.103170166666666e-06,-2.086271116838488
10.11,1.0700894999999985e-06,-2.0896814948453613
10.14,1.0443119999999998e-06,-2.092338969072165
10.17,1.016692714285713e-06,-2.0951863181148753
10.2,9.874994285714261e-07,-2.0981959351988224
10.23,9.645916e-07,-2.1005575670103096
10.25,9.343202e-07,-2.1036783298969075
10.28,9.113603333333322e-07,-2.1060453264604813
10.31,8.858953333333338e-07,-2.10867058419244
10.33,8.540705999999999e-07,-2.1119514845360827
10.36,8.339284e-07,-2.1140280000000002
10.38,8.023623333333365e-07,-2.117282233676976
10.41,7.776583333333345e-07,-2.119829037800687
10.43,7.430229999999999e-07,-2.1233996907216497
10.45,7.185684999999975e-07,-2.125920773195877
10.47,6.927819999999999e-07,-2.128579175257732
10.49,6.637560000000002e-07,-2.131571546391753
10.52,6.424420000000001e-07,-2.1337688659793814
10.54,6.181154999999972e-07,-2.13627675257732
10.55,5.803607500000014e-07,-2.140168994845361
10.58,5.63353e-07,-2.141922371134021
10.6,5.327589999999999e-07,-2.1450763917525775
10.61,4.917830000000001e-07,-2.149300721649485
10.63,4.7543666666666867e-07,-2.150985910652921
10.65,4.547254999999998e-07,-2.153121082474227
10.67,4.2955349999999997e-07,-2.1557161340206186
10.69,4.0442549999999837e-07,-2.1583066494845364
10.71,3.7923950000000194e-07,-2.1609031443298967
10.72,3.4077100000000003e-07,-2.164868969072165
10.74,3.245260000000003e-07,-2.166543711340206
10.76,3.076703333333332e-07,-2.168281408934708
10.78,2.900810000000001e-07,-2.1700947422680414
10.79,2.5738599999999693e-07,-2.1734653608247427
10.81,2.397340000000001e-07,-2.1752851546391754
10.82,2.0708533333333345e-07,-2.178650996563574
10.84,1.893670000000004e-07,-2.1804776288659795
10.85,1.56768666666667e-07,-2.183838281786942
10.87,1.389780000000001e-07,-2.1856723711340207
10.88,1.1430200000000589e-07,-2.1882162886597936
10.9,1.0614866666666688e-07,-2.1890568384879727
10.91,7.270733333333328e-08,-2.1925043986254296
10.93,6.358999999999984e-08,-2.1934443298969075
10.94,3.795299999999923e-08,-2.196087319587629
10.95,-1.2142000000000163e-08,-2.2012517525773196
