# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
49.20 -0.1034 -2.4197e-1 3.0375e-1 1.0890e-1
49.30 -0.1008 -2.3508e-1 2.9490e-1 1.0610e-1
49.40 -0.0983 -2.2820e-1 2.8605e-1 1.0328e-1
49.50 -0.0957 -2.2136e-1 2.7719e-1 1.0045e-1
49.60 -0.0932 -2.1460e-1 2.6833e-1 9.7638e-2
49.70 -0.0906 -2.0796e-1 2.5958e-1 9.4845e-2
49.80 -0.0881 -2.0146e-1 2.5106e-1 9.2076e-2
49.90 -0.0856 -1.9513e-1 2.4285e-1 8.9332e-2
50.00 -0.0831 -1.8894e-1 2.3500e-1 8.6607e-2
50.10 -0.0806 -1.8286e-1 2.2745e-1 8.3896e-2
50.20 -0.0781 -1.7686e-1 2.2005e-1 8.1198e-2
50.30 -0.0756 -1.7092e-1 2.1270e-1 7.8521e-2
50.40 -0.0731 -1.6507e-1 2.0538e-1 7.5876e-2
50.50 -0.0707 -1.5933e-1 1.9817e-1 7.3275e-2
50.60 -0.0683 -1.5373e-1 1.9120e-1 7.0723e-2
50.70 -0.0660 -1.4826e-1 1.8448e-1 6.8224e-2
50.80 -0.0637 -1.4290e-1 1.7791e-1 6.5781e-2
50.90 -0.0615 -1.3765e-1 1.7139e-1 6.3402e-2
51.00 -0.0593 -1.3255e-1 1.6495e-1 6.1101e-2
51.10 -0.0572 -1.2763e-1 1.5874e-1 5.8888e-2
51.20 -0.0552 -1.2292e-1 1.5289e-1 5.6766e-2
51.30 -0.0533 -1.1842e-1 1.4747e-1 5.4738e-2
51.40 -0.0515 -1.1415e-1 1.4249e-1 5.2801e-2
51.50 -0.0497 -1.1009e-1 1.3791e-1 5.0958e-2
51.60 -0.0480 -1.0624e-1 1.3373e-1 4.9208e-2
51.70 -0.0464 -1.0261e-1 1.2995e-1 4.7545e-2
51.80 -0.0449 -9.9176e-2 1.2654e-1 4.5961e-2
51.90 -0.0435 -9.5884e-2 1.2335e-1 4.4442e-2
52.00 -0.0421 -9.2695e-2 1.2026e-1 4.2978e-2
52.10 -0.0407 -8.9578e-2 1.1713e-1 4.1558e-2
52.20 -0.0394 -8.6514e-2 1.1388e-1 4.0175e-2
52.30 -0.0381 -8.3488e-2 1.1048e-1 3.8819e-2
52.40 -0.0368 -8.0488e-2 1.0692e-1 3.7479e-2
52.50 -0.0355 -7.7503e-2 1.0322e-1 3.6147e-2
52.60 -0.0342 -7.4523e-2 9.9414e-2 3.4815e-2
52.70 -0.0329 -7.1539e-2 9.5498e-2 3.3476e-2
52.80 -0.0316 -6.8543e-2 9.1479e-2 3.2125e-2
52.90 -0.0303 -6.5530e-2 8.7362e-2 3.0761e-2
